name,symbol,market_cap,earnings_date,fiscal_quarter,consensus_eps,number_ests,last_year_earnings_date,last_year_eps,earnings_type
"AnaptysBio, Inc.",ANAB,263e7,2018-02-06,Dec 2017,-0.41,5,NA,NA,estimated
"CareTrust REIT, Inc.",CTRE,114e7,2018-02-06,Dec 2017,0.31,5,2017-02-07,0.28,estimated
"Kala Pharmaceuticals, Inc.",KALA,31534e4,2018-02-06,Dec 2017,-0.37,3,NA,NA,estimated
Oasis Midstream Partners LP,OMP,49384e4,2018-02-06,Dec 2017,0.41,4,NA,NA,estimated
Omnicom Group Inc.,OMC,1738e7,2018-02-06,Dec 2017,1.54,4,2017-02-07,1.47,estimated
Oxford Lane Capital Corp.,OXLC,26019e4,2018-02-06,Dec 2017,NA,0,2017-02-07,0.38,estimated
"P.A.M. Transportation Services, Inc.",PTSI,23536e4,2018-02-06,Dec 2017,NA,0,2017-02-07,0.11,estimated
"Cannae Holdings, Inc.",CNNE,NA,2018-02-07,Dec 2017,-0.07,1,NA,-0.03,estimated
Hamilton Beach Brands Holding Company,HBB,35086e4,2018-02-07,Dec 2017,1.51,1,NA,NA,estimated
"Ingles Markets, Incorporated",IMKTA,61894e4,2018-02-07,Dec 2017,NA,0,2017-02-01,0.68,estimated
ProPetro Holding Corp.,PUMP,137e7,2018-02-07,Dec 2017,0.37,5,NA,NA,estimated
Southern Copper Corporation,SCCO,365e8,2018-02-07,Dec 2017,0.59,2,NA,0.22,estimated
"Worldpay, Inc.",WP,2396e7,2018-02-07,Dec 2017,0.9,13,2017-02-01,0.69,estimated
8point3 Energy Partners LP,CAFD,97195e4,2018-02-08,Nov 2017,0.1,6,NA,NA,estimated
"Aileron Therapeutics, Inc.",ALRN,11996e4,2018-02-08,Dec 2017,-0.46,3,NA,NA,estimated
"Altice USA, Inc.",ATUS,1504e7,2018-02-08,Dec 2017,-0.01,3,NA,NA,estimated
"ARC Group Worldwide, Inc.",ARCW,3655e4,2018-02-08,Dec 2017,-0.02,1,2017-02-09,-0.03,estimated
"ASV Holdings, Inc.",ASV,784e5,2018-02-08,Dec 2017,0.07,3,NA,NA,estimated
