symbol,name,last_sale,market_cap,ipo_year,sector,industry,summary_quote,exchange
PIH,"1347 Property Insurance Holdings, Inc.",7.2,4309e4,2014,Finance,Property-Casualty Insurers,http://www.nasdaq.com/symbol/pih,NASDAQ
TURN,180 Degree Capital Corp.,1.9801,6162e4,NA,Finance,Finance/Investors Services,http://www.nasdaq.com/symbol/turn,NASDAQ
FLWS,"1-800 FLOWERS.COM, Inc.",11.15,72056e4,1999,Consumer Services,Other Specialty Stores,http://www.nasdaq.com/symbol/flws,NASDAQ
FCCY,1st Constitution Bancorp (NJ),18.35,14814e4,NA,Finance,Savings Institutions,http://www.nasdaq.com/symbol/fccy,NASDAQ
SRCE,1st Source Corporation,50.3,13e8,NA,Finance,Major Banks,http://www.nasdaq.com/symbol/srce,NASDAQ
VNET,"21Vianet Group, Inc.",7.67,86288e4,2011,Technology,"Computer Software: Programming, Data Processing",http://www.nasdaq.com/symbol/vnet,NASDAQ
TWOU,"2U, Inc.",65.51,342e7,2014,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/twou,NASDAQ
JOBS,"51job, Inc.",59.76,369e7,2004,Technology,Diversified Commercial Services,http://www.nasdaq.com/symbol/jobs,NASDAQ
CAFD,8point3 Energy Partners LP,15.28,121e7,2015,Public Utilities,Electric Utilities: Central,http://www.nasdaq.com/symbol/cafd,NASDAQ
EGHT,8x8 Inc,14.4,132e7,NA,Public Utilities,Telecommunications Equipment,http://www.nasdaq.com/symbol/eght,NASDAQ
AVHI,"A V Homes, Inc.",16.25,3649e5,NA,Capital Goods,Homebuilding,http://www.nasdaq.com/symbol/avhi,NASDAQ
SHLM,"A. Schulman, Inc.",35.35,104e7,1972,Basic Industries,Major Chemicals,http://www.nasdaq.com/symbol/shlm,NASDAQ
AAON,"AAON, Inc.",35.2,185e7,NA,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/aaon,NASDAQ
ABAX,"ABAXIS, Inc.",48.04,109e7,1992,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/abax,NASDAQ
ABEO,Abeona Therapeutics Inc.,16.5,77179e4,NA,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/abeo,NASDAQ
ABEOW,Abeona Therapeutics Inc.,12.24,NA,NA,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/abeow,NASDAQ
ABIL,Ability Inc.,0.417,1074e4,2014,Finance,Business Services,http://www.nasdaq.com/symbol/abil,NASDAQ
ABMD,"ABIOMED, Inc.",188.71,834e7,NA,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/abmd,NASDAQ
ABLX,Ablynx NV,24.3,182e7,2017,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/ablx,NASDAQ
AXAS,Abraxas Petroleum Corporation,2.1,34837e4,NA,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/axas,NASDAQ
ACIU,AC Immune SA,12.63,71893e4,2016,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/aciu,NASDAQ
ACIA,"Acacia Communications, Inc.",39.38,155e7,2016,Technology,Semiconductors,http://www.nasdaq.com/symbol/acia,NASDAQ
ACTG,Acacia Research Corporation,4.25,21507e4,NA,Miscellaneous,Multi-Sector Companies,http://www.nasdaq.com/symbol/actg,NASDAQ
ACHC,"Acadia Healthcare Company, Inc.",31.74,279e7,NA,Health Care,Medical Specialities,http://www.nasdaq.com/symbol/achc,NASDAQ
ACAD,ACADIA Pharmaceuticals Inc.,28.98,36e8,2004,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/acad,NASDAQ
ACST,"Acasti Pharma, Inc.",1.3701,2027e4,NA,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/acst,NASDAQ
AXDX,"Accelerate Diagnostics, Inc.",27.25,151e7,NA,Capital Goods,Biotechnology: Laboratory Analytical Instruments,http://www.nasdaq.com/symbol/axdx,NASDAQ
XLRN,Acceleron Pharma Inc.,35.92,162e7,2013,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/xlrn,NASDAQ
ANCX,Access National Corporation,29.35,60029e4,NA,Finance,Savings Institutions,http://www.nasdaq.com/symbol/ancx,NASDAQ
ARAY,Accuray Incorporated,4.25,35665e4,2007,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/aray,NASDAQ
ACRX,"AcelRx Pharmaceuticals, Inc.",2.05,10319e4,2011,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/acrx,NASDAQ
ACER,Acer Therapeutics Inc.,11.81,7618e4,NA,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/acer,NASDAQ
ACERW,Acer Therapeutics Inc.,0.011,NA,NA,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/acerw,NASDAQ
ACET,Aceto Corporation,10.73,32878e4,NA,Health Care,Other Pharmaceuticals,http://www.nasdaq.com/symbol/acet,NASDAQ
AKAO,"Achaogen, Inc.",11.05,46845e4,2014,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/akao,NASDAQ
ACHV,"Achieve Life Sciences, Inc.",1.18,141e5,NA,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances,http://www.nasdaq.com/symbol/achv,NASDAQ
ACHN,"Achillion Pharmaceuticals, Inc.",2.76,38049e4,2006,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/achn,NASDAQ
ACIW,"ACI Worldwide, Inc.",22.84,271e7,NA,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/aciw,NASDAQ
ACRS,"Aclaris Therapeutics, Inc.",24.23,74712e4,2015,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/acrs,NASDAQ
ACMR,"ACM Research, Inc.",5,7556e4,2017,Technology,Industrial Machinery/Components,http://www.nasdaq.com/symbol/acmr,NASDAQ
ACNB,ACNB Corporation,28.8,20217e4,NA,Finance,Major Banks,http://www.nasdaq.com/symbol/acnb,NASDAQ
ACOR,"Acorda Therapeutics, Inc.",21.05,98403e4,2006,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/acor,NASDAQ
SQZZ,Active Alts Contrarian ETF,25.062,NA,NA,NA,NA,http://www.nasdaq.com/symbol/sqzz,NASDAQ
ATVI,"Activision Blizzard, Inc",66.73,5045e7,NA,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/atvi,NASDAQ
ACTA,Actua Corporation,15.6,51047e4,NA,Technology,EDP Services,http://www.nasdaq.com/symbol/acta,NASDAQ
ACXM,Acxiom Corporation,27.57,218e7,NA,Technology,EDP Services,http://www.nasdaq.com/symbol/acxm,NASDAQ
ADMS,"Adamas Pharmaceuticals, Inc.",32.58,74214e4,2014,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/adms,NASDAQ
ADMP,Adamis Pharmaceuticals Corporation,4.4,1469e5,NA,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/admp,NASDAQ
ADAP,Adaptimmune Therapeutics plc,7.37,69047e4,2015,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/adap,NASDAQ
ADUS,Addus HomeCare Corporation,32.75,38094e4,2009,Health Care,Medical/Nursing Services,http://www.nasdaq.com/symbol/adus,NASDAQ
AEY,"ADDvantage Technologies Group, Inc.",1.54,157e5,NA,Consumer Services,Office Equipment/Supplies/Services,http://www.nasdaq.com/symbol/aey,NASDAQ
IOTS,Adesto Technologies Corporation,6.65,14057e4,2015,Technology,Semiconductors,http://www.nasdaq.com/symbol/iots,NASDAQ
ADMA,ADMA Biologics Inc,2.63,11918e4,NA,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/adma,NASDAQ
ADBE,Adobe Systems Incorporated,177.51,875e8,1986,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/adbe,NASDAQ
ADOM,"ADOMANI, Inc.",2.91,19809e4,2017,Capital Goods,Auto Parts:O.E.M.,http://www.nasdaq.com/symbol/adom,NASDAQ
ADTN,"ADTRAN, Inc.",21.9,105e7,1994,Public Utilities,Telecommunications Equipment,http://www.nasdaq.com/symbol/adtn,NASDAQ
ADRO,"Aduro Biotech, Inc.",8.2,63739e4,2015,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/adro,NASDAQ
AAAP,Advanced Accelerator Applications S.A.,81.53,36e8,2015,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/aaap,NASDAQ
ADES,"Advanced Emissions Solutions, Inc.",9.97,21026e4,NA,Basic Industries,Major Chemicals,http://www.nasdaq.com/symbol/ades,NASDAQ
AEIS,"Advanced Energy Industries, Inc.",71.4,283e7,1995,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/aeis,NASDAQ
AMD,"Advanced Micro Devices, Inc.",10.29,993e7,NA,Technology,Semiconductors,http://www.nasdaq.com/symbol/amd,NASDAQ
ADXS,"Advaxis, Inc.",3.14,128949999.99999999,NA,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/adxs,NASDAQ
ADXSW,"Advaxis, Inc.",1.23,NA,NA,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/adxsw,NASDAQ
ADVM,"Adverum Biotechnologies, Inc.",3,13512e4,2014,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/advm,NASDAQ
