symbol,name,last_sale,market_cap,ipo_year,sector,industry,summary_quote,exchange
XXII,"22nd Century Group, Inc",2.65,32744e4,NA,Consumer Non-Durables,Farming/Seeds/Milling,http://www.nasdaq.com/symbol/xxii,AMEX
FAX,Aberdeen Asia-Pacific Income Fund Inc,4.86,123e7,1986,NA,NA,http://www.nasdaq.com/symbol/fax,AMEX
IAF,Aberdeen Australia Equity Fund Inc,6.38,1451e5,NA,NA,NA,http://www.nasdaq.com/symbol/iaf,AMEX
CH,"Aberdeen Chile Fund, Inc.",8.2926,776e5,NA,NA,NA,http://www.nasdaq.com/symbol/ch,AMEX
ABE,Aberdeen Emerging Markets Smaller Company Opportunities Fund I,14.17,1344e5,NA,NA,NA,http://www.nasdaq.com/symbol/abe,AMEX
FCO,"Aberdeen Global Income Fund, Inc.",8.82,7695e4,1992,NA,NA,http://www.nasdaq.com/symbol/fco,AMEX
IF,"Aberdeen Indonesia Fund, Inc.",7.6001,7036e4,1990,NA,NA,http://www.nasdaq.com/symbol/if,AMEX
ISL,"Aberdeen Israel Fund, Inc.",20.17,7958e4,1992,NA,NA,http://www.nasdaq.com/symbol/isl,AMEX
ACU,Acme United Corporation.,24.3,8199e4,1988,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/acu,AMEX
ATNM,"Actinium Pharmaceuticals, Inc.",0.64,5122e4,NA,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/atnm,AMEX
AE,"Adams Resources & Energy, Inc.",50.1,2113e5,NA,Energy,Oil Refining/Marketing,http://www.nasdaq.com/symbol/ae,AMEX
ACY,AeroCentury Corp.,14.65,2075e4,NA,Technology,Diversified Commercial Services,http://www.nasdaq.com/symbol/acy,AMEX
AIRI,Air Industries Group,1.32,3073e4,NA,Capital Goods,Military/Government/Technical,http://www.nasdaq.com/symbol/airi,AMEX
AXU,Alexco Resource Corp,1.31,13263e4,NA,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/axu,AMEX
ALO,Alio Gold Inc.,3.04,13582e4,2011,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/alo,AMEX
AAU,"Almaden Minerals, Ltd.",0.9388,9513e4,2015,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/aau,AMEX
APT,"Alpha Pro Tech, Ltd.",3.7,5608e4,NA,Health Care,Industrial Specialties,http://www.nasdaq.com/symbol/apt,AMEX
AAMC,Altisource Asset Management Corp,75.75,12082e4,NA,Finance,Real Estate,http://www.nasdaq.com/symbol/aamc,AMEX
DIT,AMCON Distributing Company,92.15,6364e4,NA,Consumer Non-Durables,Food Distributors,http://www.nasdaq.com/symbol/dit,AMEX
ALN,American Lorain Corporation,0.19,727e4,NA,Consumer Non-Durables,Packaged Foods,http://www.nasdaq.com/symbol/aln,AMEX
AMS,American Shared Hospital Services,2.5,1428e4,NA,Health Care,Medical Specialities,http://www.nasdaq.com/symbol/ams,AMEX
USAS,Americas Silver Corporation,3.53,14648e4,2017,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/usas,AMEX
AMPE,"Ampio Pharmaceuticals, Inc.",2.18,16555e4,NA,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/ampe,AMEX
APHB,AmpliPhi Biosciences Corporation,0.9644,916e4,NA,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/aphb,AMEX
ARNC^,Arconic Inc.,91.5,NA,NA,NA,NA,http://www.nasdaq.com/symbol/arnc^,AMEX
AKG,Asanko Gold Inc.,0.4601,9361e4,NA,Basic Industries,Mining & Quarrying of Nonmetallic Minerals (No Fuels),http://www.nasdaq.com/symbol/akg,AMEX
AINC,Ashford Inc.,98,20509e4,2014,Consumer Services,Professional Services,http://www.nasdaq.com/symbol/ainc,AMEX
ASB.WS,Associated Banc-Corp,NA,NA,NA,NA,NA,http://www.nasdaq.com/symbol/asb.ws,AMEX
AST,"Asterias Biotherapeutics, Inc.",2.1,11372e4,NA,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/ast,AMEX
AUG,Auryn Resources Inc.,1.3501,10598e4,NA,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/aug,AMEX
AWX,Avalon Holdings Corporation,2.12,8060000.000000001,NA,Public Utilities,Environmental Services,http://www.nasdaq.com/symbol/awx,AMEX
ASM,Avino Silver,1.3199,6958e4,NA,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/asm,AMEX
BTG,B2Gold Corp,2.82,276e7,NA,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/btg,AMEX
BTN,"Ballantyne Strong, Inc",4.45,64150000.00000001,NA,Miscellaneous,Industrial Machinery/Components,http://www.nasdaq.com/symbol/btn,AMEX
BKJ,"Bancorp of New Jersey, Inc",18.25,12547e4,NA,Finance,Major Banks,http://www.nasdaq.com/symbol/bkj,AMEX
