symbol,name,last_sale,market_cap,ipo_year,sector,industry,summary_quote,exchange
SRCE,1st Source Corporation,50.3,13e8,NA,Finance,Major Banks,http://www.nasdaq.com/symbol/srce,NASDAQ
TWOU,"2U, Inc.",65.51,342e7,2014,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/twou,NASDAQ
JOBS,"51job, Inc.",59.76,369e7,2004,Technology,Diversified Commercial Services,http://www.nasdaq.com/symbol/jobs,NASDAQ
CAFD,8point3 Energy Partners LP,15.28,121e7,2015,Public Utilities,Electric Utilities: Central,http://www.nasdaq.com/symbol/cafd,NASDAQ
EGHT,8x8 Inc,14.4,132e7,NA,Public Utilities,Telecommunications Equipment,http://www.nasdaq.com/symbol/eght,NASDAQ
SHLM,"A. Schulman, Inc.",35.35,104e7,1972,Basic Industries,Major Chemicals,http://www.nasdaq.com/symbol/shlm,NASDAQ
AAON,"AAON, Inc.",35.2,185e7,NA,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/aaon,NASDAQ
ABAX,"ABAXIS, Inc.",48.04,109e7,1992,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/abax,NASDAQ
ABMD,"ABIOMED, Inc.",188.71,834e7,NA,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/abmd,NASDAQ
ABLX,Ablynx NV,24.3,182e7,2017,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/ablx,NASDAQ
ACIA,"Acacia Communications, Inc.",39.38,155e7,2016,Technology,Semiconductors,http://www.nasdaq.com/symbol/acia,NASDAQ
ACHC,"Acadia Healthcare Company, Inc.",31.74,279e7,NA,Health Care,Medical Specialities,http://www.nasdaq.com/symbol/achc,NASDAQ
ACAD,ACADIA Pharmaceuticals Inc.,28.98,36e8,2004,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/acad,NASDAQ
AXDX,"Accelerate Diagnostics, Inc.",27.25,151e7,NA,Capital Goods,Biotechnology: Laboratory Analytical Instruments,http://www.nasdaq.com/symbol/axdx,NASDAQ
XLRN,Acceleron Pharma Inc.,35.92,162e7,2013,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/xlrn,NASDAQ
ACIW,"ACI Worldwide, Inc.",22.84,271e7,NA,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/aciw,NASDAQ
ATVI,"Activision Blizzard, Inc",66.73,5045e7,NA,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/atvi,NASDAQ
ACXM,Acxiom Corporation,27.57,218e7,NA,Technology,EDP Services,http://www.nasdaq.com/symbol/acxm,NASDAQ
ADBE,Adobe Systems Incorporated,177.51,875e8,1986,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/adbe,NASDAQ
ADTN,"ADTRAN, Inc.",21.9,105e7,1994,Public Utilities,Telecommunications Equipment,http://www.nasdaq.com/symbol/adtn,NASDAQ
AAAP,Advanced Accelerator Applications S.A.,81.53,36e8,2015,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/aaap,NASDAQ
AEIS,"Advanced Energy Industries, Inc.",71.4,283e7,1995,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/aeis,NASDAQ
AMD,"Advanced Micro Devices, Inc.",10.29,993e7,NA,Technology,Semiconductors,http://www.nasdaq.com/symbol/amd,NASDAQ
