symbol,name,last_sale,market_cap,ipo_year,sector,industry,summary_quote,exchange
DDD,3D Systems Corporation,10.4,118e7,NA,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/ddd,NYSE
MMM,3M Company,238,14175e7,NA,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/mmm,NYSE
WBAI,500.com Limited,10.03,40928e4,2013,Consumer Services,Services-Misc. Amusement & Recreation,http://www.nasdaq.com/symbol/wbai,NYSE
WUBA,58.com Inc.,69.25,1015e7,2013,Technology,"Computer Software: Programming, Data Processing",http://www.nasdaq.com/symbol/wuba,NYSE
EGHT,8x8 Inc,14.4,132e7,NA,Public Utilities,Telecommunications Equipment,http://www.nasdaq.com/symbol/eght,NYSE
AHC,A.H. Belo Corporation,4.75,10333e4,NA,Consumer Services,Newspapers/Magazines,http://www.nasdaq.com/symbol/ahc,NYSE
ATEN,"A10 Networks, Inc.",7.88,55752e4,2014,Technology,Computer Communications Equipment,http://www.nasdaq.com/symbol/aten,NYSE
AAC,"AAC Holdings, Inc.",8.42,20207e4,2014,Health Care,Medical Specialities,http://www.nasdaq.com/symbol/aac,NYSE
AIR,AAR Corp.,42.66,148e7,NA,Capital Goods,Aerospace,http://www.nasdaq.com/symbol/air,NYSE
AAN,"Aaron&#39;s,  Inc.",36.93,268e7,NA,Technology,Diversified Commercial Services,http://www.nasdaq.com/symbol/aan,NYSE
ABB,ABB Ltd,26,555e8,NA,Consumer Durables,Electrical Products,http://www.nasdaq.com/symbol/abb,NYSE
ABT,Abbott Laboratories,55.5,966e8,NA,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/abt,NYSE
ABBV,AbbVie Inc.,97.45,15557e7,2012,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/abbv,NYSE
ANF,Abercrombie & Fitch Company,16.71,114e7,NA,Consumer Services,Clothing/Shoe/Accessory Stores,http://www.nasdaq.com/symbol/anf,NYSE
GCH,"Aberdeen Greater China Fund, Inc.",12.4,10933e4,1992,NA,NA,http://www.nasdaq.com/symbol/gch,NYSE
ACP,Aberdeen Income Credit Strategies Fund,14.04,18356e4,2011,NA,NA,http://www.nasdaq.com/symbol/acp,NYSE
JEQ,"Aberdeen Japan Equity Fund, Inc.",9.39,12562e4,1992,NA,NA,http://www.nasdaq.com/symbol/jeq,NYSE
SGF,"Aberdeen Singapore Fund, Inc.",12.59,934e5,1990,NA,NA,http://www.nasdaq.com/symbol/sgf,NYSE
ABM,ABM Industries Incorporated,37.36,243e7,NA,Finance,Diversified Commercial Services,http://www.nasdaq.com/symbol/abm,NYSE
AKR,Acadia Realty Trust,27.84,233e7,NA,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/akr,NYSE
ACN,Accenture plc,152.66,9697e7,2001,Miscellaneous,Business Services,http://www.nasdaq.com/symbol/acn,NYSE
ACCO,Acco Brands Corporation,12.45,133e7,NA,Consumer Durables,Publishing,http://www.nasdaq.com/symbol/acco,NYSE
ATV,"Acorn International, Inc.",17.03,4566e4,2007,Consumer Services,Other Specialty Stores,http://www.nasdaq.com/symbol/atv,NYSE
ATU,Actuant Corporation,26.05,156e7,NA,Technology,Industrial Machinery/Components,http://www.nasdaq.com/symbol/atu,NYSE
AYI,Acuity Brands Inc,165.83,699e7,NA,Consumer Durables,Building Products,http://www.nasdaq.com/symbol/ayi,NYSE
GOLF,Acushnet Holdings Corp.,20.44,152e7,2016,Consumer Non-Durables,Recreational Products/Toys,http://www.nasdaq.com/symbol/golf,NYSE
ADX,"Adams Diversified Equity Fund, Inc.",14.99,148e7,NA,NA,NA,http://www.nasdaq.com/symbol/adx,NYSE
PEO,"Adams Natural Resources Fund, Inc.",19.07,54447e4,NA,NA,NA,http://www.nasdaq.com/symbol/peo,NYSE
AGRO,Adecoagro S.A.,9.99,122e7,2011,Consumer Non-Durables,Farming/Seeds/Milling,http://www.nasdaq.com/symbol/agro,NYSE
ADNT,Adient plc,78.91,735e7,2016,Capital Goods,Auto Parts:O.E.M.,http://www.nasdaq.com/symbol/adnt,NYSE
ATGE,Adtalem Global Education Inc.,45.3,275e7,NA,Consumer Services,Other Consumer Services,http://www.nasdaq.com/symbol/atge,NYSE
AAP,Advance Auto Parts Inc,100.7,744e7,NA,Consumer Services,Other Specialty Stores,http://www.nasdaq.com/symbol/aap,NYSE
ADSW,"Advanced Disposal Services, Inc.",23.01,204e7,2016,Public Utilities,Environmental Services,http://www.nasdaq.com/symbol/adsw,NYSE
WMS,"Advanced Drainage Systems, Inc.",22.75,127e7,2014,Capital Goods,Containers/Packaging,http://www.nasdaq.com/symbol/wms,NYSE
ASX,"Advanced Semiconductor Engineering, Inc.",6.44,1089e7,NA,Technology,Semiconductors,http://www.nasdaq.com/symbol/asx,NYSE
ASIX,AdvanSix Inc.,41.08,125e7,2016,Basic Industries,Major Chemicals,http://www.nasdaq.com/symbol/asix,NYSE
AAV,Advantage Oil & Gas Ltd,3.8,70666e4,NA,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/aav,NYSE
AVK,Advent Claymore Convertible Securities and Income Fund,15.7,31469e4,2003,NA,NA,http://www.nasdaq.com/symbol/avk,NYSE
AGC,Advent Claymore Convertible Securities and Income Fund II,5.97,16338e4,2007,NA,NA,http://www.nasdaq.com/symbol/agc,NYSE
LCM,Advent/Claymore Enhanced Growth & Income Fund,8.31,763e5,2005,NA,NA,http://www.nasdaq.com/symbol/lcm,NYSE
ACM,AECOM,36.93,582e7,2007,Consumer Services,Military/Government/Technical,http://www.nasdaq.com/symbol/acm,NYSE
ANW,Aegean Marine Petroleum Network Inc.,4.05,16459e4,2006,Energy,Oil Refining/Marketing,http://www.nasdaq.com/symbol/anw,NYSE
AEB,Aegon NV,24.7,NA,NA,Finance,Life Insurance,http://www.nasdaq.com/symbol/aeb,NYSE
AED,Aegon NV,25.83,NA,NA,Finance,Life Insurance,http://www.nasdaq.com/symbol/aed,NYSE
AEG,Aegon NV,6.18,1265e7,NA,Finance,Life Insurance,http://www.nasdaq.com/symbol/aeg,NYSE
AEH,Aegon NV,25.7,NA,NA,Finance,Life Insurance,http://www.nasdaq.com/symbol/aeh,NYSE
AEK,Aegon NV,26.61,NA,NA,Finance,Life Insurance,http://www.nasdaq.com/symbol/aek,NYSE
AER,Aercap Holdings N.V.,52.67,832e7,2006,Technology,Diversified Commercial Services,http://www.nasdaq.com/symbol/aer,NYSE
HIVE,"Aerohive Networks, Inc.",5.94,31838e4,2014,Technology,EDP Services,http://www.nasdaq.com/symbol/hive,NYSE
AJRD,"Aerojet Rocketdyne Holdings, Inc.",31.69,238e7,NA,Capital Goods,Military/Government/Technical,http://www.nasdaq.com/symbol/ajrd,NYSE
AET,Aetna Inc.,179.7,586e8,NA,Health Care,Medical Specialities,http://www.nasdaq.com/symbol/aet,NYSE
AMG,"Affiliated Managers Group, Inc.",198.64,1104e7,NA,Finance,Investment Managers,http://www.nasdaq.com/symbol/amg,NYSE
AFL,Aflac Incorporated,89.26,3509e7,NA,Finance,Accident &Health Insurance,http://www.nasdaq.com/symbol/afl,NYSE
MITT,"AG Mortgage Investment Trust, Inc.",19.63,55342e4,2011,NA,NA,http://www.nasdaq.com/symbol/mitt,NYSE
MITT^A,"AG Mortgage Investment Trust, Inc.",25.4849,NA,NA,NA,NA,http://www.nasdaq.com/symbol/mitt^a,NYSE
MITT^B,"AG Mortgage Investment Trust, Inc.",25.14,NA,NA,NA,NA,http://www.nasdaq.com/symbol/mitt^b,NYSE
AGCO,AGCO Corporation,74.39,592e7,NA,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/agco,NYSE
A,"Agilent Technologies, Inc.",67.61,2176e7,1999,Capital Goods,Biotechnology: Laboratory Analytical Instruments,http://www.nasdaq.com/symbol/a,NYSE
AEM,Agnico Eagle Mines Limited,42.97,999e7,NA,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/aem,NYSE
ADC,Agree Realty Corporation,51.69,151e7,NA,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/adc,NYSE
AGU,Agrium Inc.,110.13,1522e7,NA,Basic Industries,Agricultural Chemicals,http://www.nasdaq.com/symbol/agu,NYSE
AL,Air Lease Corporation,45.8,473e7,2011,Technology,Diversified Commercial Services,http://www.nasdaq.com/symbol/al,NYSE
APD,"Air Products and Chemicals, Inc.",160.42,3507e7,NA,Basic Industries,Major Chemicals,http://www.nasdaq.com/symbol/apd,NYSE
AYR,Aircastle Limited,23.51,185e7,2006,Technology,Diversified Commercial Services,http://www.nasdaq.com/symbol/ayr,NYSE
AKS,AK Steel Holding Corporation,5.3,167e7,NA,Basic Industries,Steel/Iron Ore,http://www.nasdaq.com/symbol/aks,NYSE
ALP^Q,Alabama Power Company,26.18,NA,NA,NA,NA,http://www.nasdaq.com/symbol/alp^q,NYSE
ALG,"Alamo Group, Inc.",111.98,13e8,NA,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/alg,NYSE
AGI,Alamos Gold Inc.,6.03,235e7,2015,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/agi,NYSE
ALK,"Alaska Air Group, Inc.",70.83,872e7,NA,Transportation,Air Freight/Delivery Services,http://www.nasdaq.com/symbol/alk,NYSE
AIN,Albany International Corporation,62.2,2e9,NA,Basic Industries,Textiles,http://www.nasdaq.com/symbol/ain,NYSE
ALB,Albemarle Corporation,129.57,1432e7,NA,Basic Industries,Major Chemicals,http://www.nasdaq.com/symbol/alb,NYSE
AA,Alcoa Corporation,42.61,788e7,2016,Basic Industries,Aluminum,http://www.nasdaq.com/symbol/aa,NYSE
ALEX,"Alexander & Baldwin Holdings, Inc.",28.66,141e7,NA,Finance,Real Estate,http://www.nasdaq.com/symbol/alex,NYSE
ALX,"Alexander&#39;s, Inc.",397.69,2029999999.9999998,NA,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/alx,NYSE
ARE,"Alexandria Real Estate Equities, Inc.",132.84,1272e7,NA,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/are,NYSE
ARE^D,"Alexandria Real Estate Equities, Inc.",37.4,NA,NA,NA,NA,http://www.nasdaq.com/symbol/are^d,NYSE
AQN,Algonquin Power & Utilities Corp.,10.95,466e7,2016,Public Utilities,Electric Utilities: Central,http://www.nasdaq.com/symbol/aqn,NYSE
BABA,Alibaba Group Holding Limited,173.55,4453e8,2014,Miscellaneous,Business Services,http://www.nasdaq.com/symbol/baba,NYSE
Y,Alleghany Corporation,577.24,888e7,NA,Finance,Property-Casualty Insurers,http://www.nasdaq.com/symbol/y,NYSE
ATI,Allegheny Technologies Incorporated,23.49,296e7,NA,Basic Industries,Steel/Iron Ore,http://www.nasdaq.com/symbol/ati,NYSE
ALLE,Allegion plc,82.28,782e7,2013,Consumer Services,Diversified Commercial Services,http://www.nasdaq.com/symbol/alle,NYSE
AGN,Allergan plc.,171.68,571e8,2013,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/agn,NYSE
AGN^A,Allergan plc.,608,NA,NA,NA,NA,http://www.nasdaq.com/symbol/agn^a,NYSE
ALE,"Allete, Inc.",77.9,398e7,NA,Public Utilities,Power Generation,http://www.nasdaq.com/symbol/ale,NYSE
AKP,Alliance California Municipal Income Fund Inc,13.61,11643e4,2002,NA,NA,http://www.nasdaq.com/symbol/akp,NYSE
ADS,Alliance Data Systems Corporation,239.81,1325e7,2001,Miscellaneous,Business Services,http://www.nasdaq.com/symbol/ads,NYSE
AFB,Alliance National Municipal Income Fund Inc,13.58,39036e4,2002,NA,NA,http://www.nasdaq.com/symbol/afb,NYSE
AOI,"Alliance One International, Inc.",12.75,11477e4,NA,Consumer Services,Farming/Seeds/Milling,http://www.nasdaq.com/symbol/aoi,NYSE
AWF,Alliance World Dollar Government Fund II,12.72,11e8,1993,NA,NA,http://www.nasdaq.com/symbol/awf,NYSE
AB,AllianceBernstein Holding L.P.,25,234e7,NA,Finance,Investment Managers,http://www.nasdaq.com/symbol/ab,NYSE
LNT,Alliant Energy Corporation,44.43,1027e7,NA,Public Utilities,Power Generation,http://www.nasdaq.com/symbol/lnt,NYSE
CBH,AllianzGI Convertible & Income 2024 Target Term Fund,9.15,16705e4,2017,NA,NA,http://www.nasdaq.com/symbol/cbh,NYSE
NCV,AllianzGI Convertible & Income Fund,7.06,62618e4,2003,NA,NA,http://www.nasdaq.com/symbol/ncv,NYSE
NCZ,AllianzGI Convertible & Income Fund II,6.2,46397e4,2003,NA,NA,http://www.nasdaq.com/symbol/ncz,NYSE
ACV,AllianzGI Diversified Income & Convertible Fund,21.81,2241e5,2015,NA,NA,http://www.nasdaq.com/symbol/acv,NYSE
NIE,AllianzGI Equity & Convertible Income Fund,21.3,5902e5,2007,NA,NA,http://www.nasdaq.com/symbol/nie,NYSE
NFJ,"AllianzGI NFJ Dividend, Interest & Premium Strategy Fund",13.58,129e7,2005,Finance,Finance: Consumer Services,http://www.nasdaq.com/symbol/nfj,NYSE
ALSN,"Allison Transmission Holdings, Inc.",41.28,585e7,2012,Capital Goods,Auto Parts:O.E.M.,http://www.nasdaq.com/symbol/alsn,NYSE
ALL,Allstate Corporation (The),103.97,3731e7,NA,Finance,Property-Casualty Insurers,http://www.nasdaq.com/symbol/all,NYSE
ALL^A,Allstate Corporation (The),25.91,NA,NA,NA,NA,http://www.nasdaq.com/symbol/all^a,NYSE
ALL^B,Allstate Corporation (The),26.52,NA,NA,NA,NA,http://www.nasdaq.com/symbol/all^b,NYSE
ALL^C,Allstate Corporation (The),26.27,NA,NA,NA,NA,http://www.nasdaq.com/symbol/all^c,NYSE
ALL^D,Allstate Corporation (The),27.58,NA,NA,NA,NA,http://www.nasdaq.com/symbol/all^d,NYSE
ALL^E,Allstate Corporation (The),26.73,NA,NA,NA,NA,http://www.nasdaq.com/symbol/all^e,NYSE
ALL^F,Allstate Corporation (The),26.77,NA,NA,NA,NA,http://www.nasdaq.com/symbol/all^f,NYSE
ALLY,Ally Financial Inc.,28.7,1269e7,2014,Finance,Finance: Consumer Services,http://www.nasdaq.com/symbol/ally,NYSE
ALLY^A,Ally Financial Inc.,26.08,NA,NA,NA,NA,http://www.nasdaq.com/symbol/ally^a,NYSE
ALDW,"Alon USA Partners, LP",15.87,99234e4,2012,Energy,Integrated oil Companies,http://www.nasdaq.com/symbol/aldw,NYSE
AGD,Alpine Global Dynamic Dividend Fund,10.69,13416e4,2006,NA,NA,http://www.nasdaq.com/symbol/agd,NYSE
AWP,Alpine Global Premier Properties Fund,6.63,56625e4,2007,NA,NA,http://www.nasdaq.com/symbol/awp,NYSE
AOD,Alpine Total Dynamic Dividend Fund,9.18,98771e4,2007,NA,NA,http://www.nasdaq.com/symbol/aod,NYSE
AYX,"Alteryx, Inc.",27.76,164e7,2017,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/ayx,NYSE
ATUS,"Altice USA, Inc.",19.03,1403e7,2017,Consumer Services,Television Services,http://www.nasdaq.com/symbol/atus,NYSE
RESI,Altisource Residential Corporation,11.06,59113e4,NA,Finance,Real Estate,http://www.nasdaq.com/symbol/resi,NYSE
MO,Altria Group,71.67,136759999999.99998,NA,Consumer Non-Durables,Farming/Seeds/Milling,http://www.nasdaq.com/symbol/mo,NYSE
ACH,Aluminum Corporation of China Limited,16.31,972e7,2001,Basic Industries,Aluminum,http://www.nasdaq.com/symbol/ach,NYSE
AMBR,"Amber Road, Inc.",7.39,2011e5,2014,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/ambr,NYSE
ABEV,Ambev S.A.,6.23,9786e7,2013,Consumer Non-Durables,Beverages (Production/Distribution),http://www.nasdaq.com/symbol/abev,NYSE
AMC,"AMC Entertainment Holdings, Inc.",15.1,195e7,2013,Consumer Services,Movies/Entertainment,http://www.nasdaq.com/symbol/amc,NYSE
AEE,Ameren Corporation,60.94,1479e7,NA,Public Utilities,Power Generation,http://www.nasdaq.com/symbol/aee,NYSE
AMRC,"Ameresco, Inc.",8.7,39588e4,2010,Basic Industries,Engineering & Construction,http://www.nasdaq.com/symbol/amrc,NYSE
AMOV,"America Movil, S.A.B. de C.V.",17.09,5645e7,NA,Public Utilities,Telecommunications Equipment,http://www.nasdaq.com/symbol/amov,NYSE
AMX,"America Movil, S.A.B. de C.V.",17.24,5694e7,NA,Public Utilities,Telecommunications Equipment,http://www.nasdaq.com/symbol/amx,NYSE
AAT,"American Assets Trust, Inc.",39.26,185e7,2011,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/aat,NYSE
AXL,"American Axle & Manufacturing Holdings, Inc.",17.19,191e7,NA,Capital Goods,Auto Parts:O.E.M.,http://www.nasdaq.com/symbol/axl,NYSE
ACC,American Campus Communities Inc,42.58,581e7,2004,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/acc,NYSE
AEO,"American Eagle Outfitters, Inc.",17.43,309e7,NA,Consumer Services,Clothing/Shoe/Accessory Stores,http://www.nasdaq.com/symbol/aeo,NYSE
AEP,"American Electric Power Company, Inc.",76.54,3765e7,NA,Public Utilities,Electric Utilities: Central,http://www.nasdaq.com/symbol/aep,NYSE
