symbol,name,exchange
AW.UN,A&W Revenue Royalties Income Fund,TSX
FAP,Aberdeen Asia-Pacific Income Investment Company Limited,TSX
AAB,Aberdeen International Inc.,TSX
ABT,Absolute Software Corporation,TSX
ADN,Acadian Timber Corp.,TSX
AEF,Acasta Enterprises Inc.,TSX
AEF.WT,Acasta Enterprises Inc.,TSX
ACD,Accord Financial Corp.,TSX
ASP,Acerus Pharmaceuticals Corporation,TSX
DRX,ADF Group Inc.,TSX
AAV,Advantage Oil & Gas Ltd.,TSX
AHY.UN,Advantaged Canadian High Yield Bond Fund,TSX
ARE,Aecon Group Inc.,TSX
ARE.DB.B,Aecon Group Inc.,TSX
AEZS,AEterna Zentaris Inc.,TSX
AOI,Africa Oil Corp.,TSX
AFN,Ag Growth International Inc.,TSX
AFN.DB.B,Ag Growth International Inc.,TSX
AFN.DB.C,Ag Growth International Inc.,TSX
AFN.DB.D,Ag Growth International Inc.,TSX
AFN.DB.E,Ag Growth International Inc.,TSX
ACR.UN,Agellan Commercial Real Estate Investment Trust,TSX
AGF.B,AGF Management Limited,TSX
QCD,AGFiQ Enhanced Core Canadian Equity ETF,TSX
QEM,AGFiQ Enhanced Core Emerging Markets Equity ETF,TSX
QIE,AGFiQ Enhanced Core International Equity ETF,TSX
QUS,AGFiQ Enhanced Core US Equity ETF,TSX
QGL,AGFiQ Global Equity Rotation ETF,TSX
QMA,AGFiQ MultiAsset Allocation ETF,TSX
QMY,AGFiQ MultiAsset Income Allocation ETF,TSX
AJX,AgJunction Inc.,TSX
AEM,Agnico Eagle Mines Limited,TSX
AGT,AGT Food and Ingredients Inc.,TSX
AGT.PR.A,AGT Food and Ingredients Inc.,TSX
AIM,Aimia Inc.,TSX
AIM.PR.A,Aimia Inc.,TSX
AIM.PR.B,Aimia Inc.,TSX
AIM.PR.C,Aimia Inc.,TSX
AC,Air Canada,TSX
BOS,AirBoss of America Corp.,TSX
AKT.A,Akita Drilling Ltd.,TSX
AKT.B,Akita Drilling Ltd.,TSX
AKU.U,Akumin Inc.,TSX
ASR,Alacer Gold Corp.,TSX
AGI,Alamos Gold Inc.,TSX
AGI.WT,Alamos Gold Inc.,TSX
AGI.WT.A,Alamos Gold Inc.,TSX
AD,Alaris Royalty Corp.,TSX
IRON,Alderon Iron Ore Corp.,TSX
AXR,Alexco Resource Corp.,TSX
ALC,Algoma Central Corporation,TSX
ALC.DB.A,Algoma Central Corporation,TSX
AQN,Algonquin Power & Utilities Corp.,TSX
AQN.PR.A,Algonquin Power & Utilities Corp.,TSX
AQN.PR.D,Algonquin Power & Utilities Corp.,TSX
AQY.A,Alignvest Acquisition II Corporation,TSX
AQY.WT,Alignvest Acquisition II Corporation,TSX
ATD.A,Alimentation Couche-Tard Inc.,TSX
ATD.B,Alimentation Couche-Tard Inc.,TSX
ALO,Alio Gold Inc.,TSX
ALO.WT,Alio Gold Inc.,TSX
ALO.WT.A,Alio Gold Inc.,TSX
ABK.A,Allbanc Split Corp.,TSX
ABK.PR.C,Allbanc Split Corp.,TSX
ALB,Allbanc Split Corp. II,TSX
ALB.PR.C,Allbanc Split Corp. II,TSX
AP.UN,Allied Properties Real Estate Investment Trust,TSX
AMM,Almaden Minerals Ltd.,TSX
ALA,AltaGas Ltd.,TSX
ALA.PR.A,AltaGas Ltd.,TSX
ALA.PR.B,AltaGas Ltd.,TSX
ALA.PR.E,AltaGas Ltd.,TSX
ALA.PR.G,AltaGas Ltd.,TSX
ALA.PR.I,AltaGas Ltd.,TSX
ALA.PR.K,AltaGas Ltd.,TSX
ALA.PR.U,AltaGas Ltd.,TSX
ALA.R,AltaGas Ltd.,TSX
ALS,Altius Minerals Corporation,TSX
ALS.PR.A,Altius Minerals Corporation,TSX
AIF,Altus Group Limited,TSX
ACZ.UN,American Core Sectors Dividend Fund,TSX
HOT.DB.U,American Hotel Income Properties REIT LP,TSX
HOT.U,American Hotel Income Properties REIT LP,TSX
HOT.UN,American Hotel Income Properties REIT LP,TSX
USA,Americas Silver Corporation,TSX
ARG,Amerigo Resources Ltd.,TSX
ANX,Anaconda Mining Inc.,TSX
ADW.A,Andrew Peller Limited/Andrew Peller Limitee,TSX
ADW.B,Andrew Peller Limited/Andrew Peller Limitee,TSX
APY,Anglo Pacific Group PLC,TSX
APH,Aphria Inc.,TSX
APS,Aptose Biosciences Inc.,TSX
AQA,Aquila Resources Inc.,TSX
ARZ,Aralez Pharmaceuticals Inc.,TSX
ARX,ARC Resources Ltd.,TSX
RGX,Argex Titanium Inc.,TSX
AR,Argonaut Gold Inc.,TSX
ATZ,Aritzia Inc.,TSX
AZ,Arizona Mining Inc.,TSX
AX.PR.A,Artis Real Estate Investment Trust,TSX
AX.PR.E,Artis Real Estate Investment Trust,TSX
AX.PR.G,Artis Real Estate Investment Trust,TSX
AX.PR.I,Artis Real Estate Investment Trust,TSX
AX.PR.U,Artis Real Estate Investment Trust,TSX
AX.UN,Artis Real Estate Investment Trust,TSX
AKG,Asanko Gold Inc.,TSX
ASND,Ascendant Resources Inc.,TSX
ASND.WT,Ascendant Resources Inc.,TSX
AYM,Atalaya Mining plc,TSX
ACO.X,ATCO Ltd.,TSX
ACO.Y,ATCO Ltd.,TSX
ATH,Athabasca Oil Corporation,TSX
ATP,Atlantic Power Corporation,TSX
ATP.DB.D,Atlantic Power Corporation,TSX
ATP.DB.E,Atlantic Power Corporation,TSX
ATP.DB.U,Atlantic Power Corporation,TSX
AZP.PR.A,Atlantic Power Preferred Equity Ltd.,TSX
AZP.PR.B,Atlantic Power Preferred Equity Ltd.,TSX
AZP.PR.C,Atlantic Power Preferred Equity Ltd.,TSX
ATL,Atlatsa Resources Corporation,TSX
AI,Atrium Mortgage Investment Corporation,TSX
AI.DB,Atrium Mortgage Investment Corporation,TSX
AI.DB.A,Atrium Mortgage Investment Corporation,TSX
AI.DB.B,Atrium Mortgage Investment Corporation,TSX
AI.DB.C,Atrium Mortgage Investment Corporation,TSX
ATA,ATS Automation Tooling Systems Inc.,TSX
ORA,Aura Minerals Inc.,TSX
AUP,Aurinia Pharmaceuticals Inc.,TSX
ACB,Aurora Cannabis Inc.,TSX
ACB.WT,Aurora Cannabis Inc.,TSX
AUG,Auryn Resources Inc.,TSX
AUI.UN,Australian Banc Income Fund,TSX
HRR.UN,Australian REIT Income Fund,TSX
ACQ,AutoCanada Inc.,TSX
APR.UN,Automotive Properties Real Estate Investment Trust,TSX
AVL,Avalon Advanced Materials Inc.,TSX
AVP,Avcorp Industries Inc.,TSX
ASO,Avesoro Resources Inc.,TSX
AVO,Avigilon Corporation,TSX
ASM,Avino Silver & Gold Mines Ltd.,TSX
ASM.WT,Avino Silver & Gold Mines Ltd.,TSX
AZZ,Azarga Uranium Corp.,TSX
ABX,Barrick Gold Corporation,TSX
ADC.UN,First Asset Canadian Convertibles Fund,TSX
AUMN,Golden Minerals Company,TSX
AAR.UN,Pure Industrial Real Estate Trust,TSX
AV.UN,Redwood Advantage Monthly Income Fund,TSX
AOG.UN,Redwood Energy Income Fund,TSX
BTO,B2Gold Corp.,TSX
BAD,Badger Daylighting Ltd.,TSX
BLDP,Ballard Power Systems Inc.,TSX
BAR,Balmoral Resources Ltd.,TSX
BMO,Bank of Montreal,TSX
BMO.PR.A,Bank of Montreal,TSX
BMO.PR.B,Bank of Montreal,TSX
BMO.PR.C,Bank of Montreal,TSX
BMO.PR.D,Bank of Montreal,TSX
BMO.PR.M,Bank of Montreal,TSX
BMO.PR.Q,Bank of Montreal,TSX
BMO.PR.R,Bank of Montreal,TSX
BMO.PR.S,Bank of Montreal,TSX
BMO.PR.T,Bank of Montreal,TSX
BMO.PR.W,Bank of Montreal,TSX
BMO.PR.Y,Bank of Montreal,TSX
BMO.PR.Z,Bank of Montreal,TSX
BNS,Bank of Nova Scotia (The),TSX
BNS.PR.A,Bank of Nova Scotia (The),TSX
BNS.PR.B,Bank of Nova Scotia (The),TSX
BNS.PR.C,Bank of Nova Scotia (The),TSX
BNS.PR.D,Bank of Nova Scotia (The),TSX
BNS.PR.E,Bank of Nova Scotia (The),TSX
BNS.PR.F,Bank of Nova Scotia (The),TSX
BNS.PR.G,Bank of Nova Scotia (The),TSX
BNS.PR.H,Bank of Nova Scotia (The),TSX
BNS.PR.P,Bank of Nova Scotia (The),TSX
BNS.PR.Q,Bank of Nova Scotia (The),TSX
BNS.PR.R,Bank of Nova Scotia (The),TSX
