timestamp,yahoo_open,yahoo_high,yahoo_low,yahoo_close,yahoo_volume,yahoo_adjusted_close,symbol,id,close,earnings,exchange,initial_trend,position_label
2014-01-02,118.709999,119.300003,117.739998,117.809998,1618400,104.779945,COST,NA,NA,NA,NA,NA,NA
2014-01-03,118.209999,118.360001,117.129997,117.290001,1293500,104.317451,COST,NA,NA,NA,NA,NA,NA
2014-01-06,117.489998,117.75,115.889999,116.400002,2120200,103.525902,COST,NA,NA,NA,NA,NA,NA
2014-01-07,116.389999,116.559998,115.379997,115.860001,2292500,103.045624,COST,NA,NA,NA,NA,NA,NA
2014-01-08,116.040001,116.040001,113.919998,114.050003,46e5,101.435837,COST,NA,NA,NA,NA,NA,NA
2014-01-09,116.199997,119.099998,114.050003,118.510002,5759400,105.402519,COST,NA,NA,NA,NA,NA,NA
2014-01-10,118.199997,118.650002,116.660004,117.849998,2790200,104.815521,COST,NA,NA,NA,NA,NA,NA
2014-01-13,117.059998,117.529999,114.580002,114.769997,3164200,102.07618,COST,NA,NA,NA,NA,NA,NA
2014-01-14,115.199997,116.830002,115.120003,116.230003,2320600,103.374687,COST,NA,NA,NA,NA,NA,NA
2014-01-15,116.07,116.690002,115.25,116.239998,1847500,103.383606,COST,NA,NA,NA,NA,NA,NA
2014-01-16,116.440002,116.470001,115.300003,115.559998,1938200,102.778801,COST,NA,NA,NA,NA,NA,NA
2014-01-17,115.599998,116.610001,115.43,116.290001,2708100,103.428078,COST,NA,NA,NA,NA,NA,NA
2014-01-21,115.610001,116.110001,114.839996,114.93,2110800,102.218491,COST,NA,NA,NA,NA,NA,NA
2014-01-22,115.010002,115.160004,113.690002,113.75,2501600,101.168999,COST,NA,NA,NA,NA,NA,NA
2014-01-23,113.5,113.529999,112.400002,112.800003,2162300,100.324074,COST,NA,NA,NA,NA,NA,NA
2014-01-24,112.690002,112.870003,111.919998,112.129997,3183100,99.728172,COST,NA,NA,NA,NA,NA,NA
2014-01-27,112.559998,113.730003,112.029999,113.080002,3784900,100.57309,COST,NA,NA,NA,NA,NA,NA
2014-01-28,113.529999,114.760002,113.440002,114.379997,2362100,101.729309,COST,NA,NA,NA,NA,NA,NA
2014-01-29,114.050003,114.190002,112.110001,112.230003,2356e3,99.817108,COST,NA,NA,NA,NA,NA,NA
2014-01-30,112.75,113.489998,112.089996,112.730003,1625800,100.261818,COST,NA,NA,NA,NA,NA,NA
2014-01-31,111.290001,113.279999,111.129997,112.360001,2143600,99.932724,COST,NA,NA,NA,NA,NA,NA
2014-02-03,112.959999,113,110.050003,110.18,3111900,97.993843,COST,NA,NA,NA,NA,NA,NA
2014-02-04,110.730003,111.330002,109.5,110.889999,2529600,98.625305,COST,NA,NA,NA,NA,NA,NA
2014-02-05,110.220001,110.800003,109.800003,110.510002,2374200,98.287338,COST,NA,NA,NA,NA,NA,NA
2014-02-06,113.010002,114.580002,113,114.260002,3738900,101.622574,COST,NA,NA,NA,NA,NA,NA
2014-02-07,114.080002,114.610001,113.379997,114.040001,2194100,101.426926,COST,NA,NA,NA,NA,NA,NA
2014-02-10,114.040001,114.099998,112.580002,113.849998,1871700,101.25795,COST,NA,NA,NA,NA,NA,NA
2014-02-11,113.910004,115.150002,113.5,114.989998,1768900,102.271851,COST,NA,NA,NA,NA,NA,NA
2014-02-12,114.879997,115.43,114.300003,114.809998,1737700,102.387779,COST,NA,NA,NA,NA,NA,NA
2014-02-13,114.139999,115.93,114.139999,115.809998,1583300,103.279579,COST,NA,NA,NA,NA,NA,NA
2014-02-14,115.160004,116.489998,114.5,116.099998,1517900,103.538177,COST,NA,NA,NA,NA,NA,NA
2014-02-18,116.300003,116.410004,114.919998,115.360001,2056500,102.878273,COST,NA,NA,NA,NA,NA,NA
