Feature,Weight
chaikinvol_063,-0.773569
chaikinvol_231,-0.680349
chaikinvol_210,-0.53512
chaikinvol_021,-0.328552
cmf_021,-0.278628
williamsr_252,0.227724
williamsr_231,0.164259
chaikinvol_010,-0.113616
williamsr_168,0.112431
williamsr_210,0.108821
volatility_042,0.104778
vhf_010,-0.10376
williamsr_021,0.101253
volatility_063,0.101034
vhf_005,-0.100088
williamsr_147,0.0897183
volatility_084,0.0728099
williamsr_010,0.0594367
volatility_252,-0.0557589
cmo_252,0.0556291
cmf_005,-0.048246699999999997
chaikinvol_005,-0.0471117
snr_063,0.0463243
positive_010,0.0450813
cmo_105,0.0431756
snr_105,0.0399735
vhf_021,-0.0385482
volatility_021,0.0380155
cmo_231,0.037685
volatility_231,-0.0376314
volatility_105,0.0366182
cmo_168,0.0361972
snr_084,0.034265
williamsr_105,0.0326996
cmo_210,0.0307461
cmo_126,0.0296005
snr_021,-0.0295428
volatility_010,0.0293051
volatility_189,-0.0283594
snr_252,0.0274116
cmo_147,0.0245976
snr_126,0.0242005
cmf_126,0.0239469
volatility_005,-0.0218483
positive_021,0.020414
snr_005,-0.0197954
snr_168,0.019089
volatility_210,-0.0177572
cmo_063,0.0176085
return_063,-0.0164275
cmo_084,0.0163389
drawdown_084,0.0162621
cmo_189,0.0162041
drawdown_105,0.0144839
positive_005,0.0140351
volatility_168,-0.0134334
drawdown_063,0.0125414
cmo_042,0.0116964
drawdown_021,-0.0114291
drawdown_005,0.0113699
drawdown_210,-0.0109011
snr_010,-0.010614
snr_189,-0.0105956
return_001,-0.00961737
drawdown_189,-0.00939496
return_021,0.00896559
mfi_147,-0.00872198
drawdown_042,0.00849156
positive_042,0.00835783
return_042,-0.00764113
mfi_168,-0.00758051
return_084,-0.00739866
drawdown_231,-0.00732754
mfi_126,-0.00724871
return_105,-0.00724519
volatility_126,0.00714973
mfi_189,-0.00698906
drawdown_252,-0.00697643
drawup_084,-0.00688281
positive_063,0.00674075
drawup_105,-0.00616158
mfi_105,-0.00594199
drawdown_168,-0.00548887
snr_147,0.00544978
